0, 0
30, 60
60, 120
90, 180
120, 240
150, 300
180, 360
210, 420
240, 420
270, 420
300, 420
330, 420
360, 420
390, 420
420, 420
450, 462
480, 522
510, 582
540, 642
570, 702
600, 762
630, 822
660, 882
690, 942
720, 1002
750, 1062
780, 1122
810, 1182
840, 1242
870, 1302
900, 1362
930, 1422
960, 1482
990, 1542
1020, 1602
1050, 1662
1080, 1722
1110, 1782
1140, 1842
1170, 1902
1200, 1962
1230, 2022
1260, 2082
1290, 2142
1320, 2202
1350, 2262
1380, 2322
1410, 2382
1440, 2442
1470, 2502
1500, 2562
1530, 2622
1560, 2682
1590, 2742
1620, 2802
1650, 2862
1680, 2922
1710, 2982
1740, 3042
1770, 3102
1800, 3162
1830, 3222
1860, 3282
1890, 3342
1920, 3402
1950, 3462
1980, 3522
2010, 3582
2040, 3642
2070, 3702
2100, 3762
2130, 3822
2160, 3882
2190, 3942
2220, 4002
2250, 4062
2280, 4122
2310, 4182
2340, 4242
2370, 4302
2400, 4362
2430, 4422
2460, 4482
2490, 4542
2520, 4602
0, 0
30, 60
60, 120
90, 180
120, 240
150, 300
180, 360
210, 360
240, 360
270, 360
300, 360
330, 360
360, 360
390, 360
420, 434
450, 434
480, 434
510, 434
540, 434
570, 434
600, 434
630, 434
660, 434
690, 434
720, 434
750, 434
780, 434
810, 434
840, 434
870, 434
900, 434
930, 434
960, 434
990, 434
1020, 434
1050, 434
1080, 434
1110, 434
1140, 434
1170, 434
1200, 434
1230, 434
1260, 434
1290, 434
1320, 434
1350, 434
1380, 434
1410, 434
1440, 434
1470, 434
1500, 434
1530, 434
1560, 434
1590, 434
1620, 434
1650, 434
1680, 434
1710, 434
1740, 434
1770, 434
1800, 434
1830, 434
1860, 434
1890, 434
1920, 434
1950, 434
1980, 434
2010, 434
2040, 434
2070, 434
2100, 434
2130, 434
2160, 434
2190, 434
2220, 434
2250, 434
2280, 434
2310, 434
2340, 434
2370, 434
2400, 434
2430, 434
0, 0
30, 60
60, 120
90, 180
120, 240
150, 300
180, 360
210, 420
240, 420
270, 420
300, 420
330, 420
360, 420
390, 420
420, 420
450, 420
480, 420
510, 420
540, 420
570, 420
600, 420
630, 420
660, 420
690, 420
720, 420
750, 420
780, 420
810, 420
840, 420
870, 420
900, 420
930, 420
960, 420
990, 420
1020, 420
1050, 420
1080, 420
1110, 420
1140, 420
1170, 420
1200, 420
1230, 420
1260, 420
1290, 420
1320, 420
1350, 420
1380, 420
1410, 420
1440, 420
1470, 420
1500, 420
1530, 420
1560, 420
1590, 420
1620, 420
1650, 420
1680, 420
1710, 420
1740, 420
1770, 420
1800, 420
1830, 420
1860, 420
1890, 420
1920, 420
1950, 420
1980, 420
2010, 420
2040, 420
2070, 420
2100, 420
2130, 420
2160, 420
2190, 420
2220, 420
2250, 420
2280, 420
2310, 420
2340, 420
2370, 420
2400, 420
2430, 420
2460, 420
2490, 420
2520, 420
2550, 420
2580, 420
2610, 420
2640, 420
2670, 420
2700, 420
2730, 420
2760, 420
2790, 420
2820, 420
2850, 420
2880, 420
2910, 420
2940, 420
2970, 420
